item_id,headline,category,gold_label,gold_lead_frame,suggested_agency_style,gold_agency_style,suggested_density_band,gold_density_band,suggested_rhetorical_mode,gold_rhetorical_mode,annotator,batch,suggested_lead_frame,lead_frame,agency_style,density_band,rhetorical_mode,split
38,"Trump gives mixed signals on Iran war. And, how Epstein built ties to scientists",world,coordination,actor_entity_first,active_or_nonpassive,active_or_nonpassive,high_density,high_density,analysis_explainer,analysis_explainer,codex,B02,actor_entity_first,actor_entity_first,active_or_nonpassive,high_density,analysis_explainer,dev
39,IDF hits Hezbollah command centers and finance body as rockets fly at northern Israel,world,coordination,actor_entity_first,active_or_nonpassive,active_or_nonpassive,high_density,high_density,straight_report,straight_report,codex,B02,actor_entity_first,actor_entity_first,active_or_nonpassive,high_density,straight_report,train
40,Trump says he's 'not happy' with Iran's choice of new supreme leader,world,simple_clause,actor_entity_first,active_or_nonpassive,active_or_nonpassive,medium_density,medium_density,straight_report,straight_report,codex,B02,actor_entity_first,actor_entity_first,active_or_nonpassive,medium_density,straight_report,test
41,Australia grants asylum to 5 Iranian soccer players after Trump pressure,world,simple_clause,actor_entity_first,active_or_nonpassive,active_or_nonpassive,high_density,high_density,straight_report,straight_report,codex,B02,actor_entity_first,actor_entity_first,active_or_nonpassive,high_density,straight_report,train
42,Iran war: What is happening on day 11 of US Israel attacks?,world,question_form,actor_entity_first,active_or_nonpassive,active_or_nonpassive,medium_density,medium_density,question_hook,question_hook,codex,B02,actor_entity_first,actor_entity_first,active_or_nonpassive,medium_density,question_hook,dev
43,"Who Is Balendra Shah, the Rapper Set to Be Nepal's Next Prime Minister?",world,question_form,actor_entity_first,active_or_nonpassive,active_or_nonpassive,medium_density,medium_density,question_hook,question_hook,codex,B02,actor_entity_first,actor_entity_first,active_or_nonpassive,medium_density,question_hook,dev
44,Top Iranian security official threatens Trump with death politico.eu,world,simple_clause,context_first,active_or_nonpassive,active_or_nonpassive,high_density,high_density,straight_report,straight_report,codex,B02,context_first,context_first,active_or_nonpassive,high_density,straight_report,dev
45,Exclusive: U.S. dismissed Ukraine deal for anti Iran drone tech last year,world,simple_clause,actor_entity_first,active_or_nonpassive,active_or_nonpassive,high_density,high_density,straight_report,straight_report,codex,B02,actor_entity_first,context_first,active_or_nonpassive,high_density,straight_report,train
46,"Reducing Europe's nuclear energy sector was 'strategic mistake', EU chief says",world,simple_clause,action_first,active_or_nonpassive,active_or_nonpassive,high_density,high_density,straight_report,straight_report,codex,B02,action_first,action_first,active_or_nonpassive,high_density,straight_report,train
47,North Korea denounces 'muscle flexing' US South Korean military exercises,world,simple_clause,actor_entity_first,active_or_nonpassive,active_or_nonpassive,high_density,high_density,straight_report,straight_report,codex,B02,actor_entity_first,actor_entity_first,active_or_nonpassive,high_density,straight_report,dev
48,American Farmers Dealt New Blow as Trump's Iran War Escalates,world,noun_phrase_fragment,actor_entity_first,active_or_nonpassive,active_or_nonpassive,high_density,high_density,straight_report,straight_report,codex,B02,actor_entity_first,actor_entity_first,active_or_nonpassive,high_density,straight_report,test
49,Bag containing weed and cash accidentally donated to a New Zealand charity shop,world,noun_phrase_fragment,actor_entity_first,active_or_nonpassive,active_or_nonpassive,high_density,high_density,straight_report,straight_report,codex,B02,actor_entity_first,actor_entity_first,active_or_nonpassive,high_density,straight_report,train
50,"Macron says France, allies preparing 'defensive' mission to reopen Strait of Hormuz",world,simple_clause,actor_entity_first,active_or_nonpassive,active_or_nonpassive,high_density,high_density,straight_report,straight_report,codex,B02,actor_entity_first,actor_entity_first,active_or_nonpassive,high_density,straight_report,dev
51,"In a 'Suicide War,' Hezbollah Pulls Israel Onto Its Own Turf in Lebanon",world,simple_clause,context_first,active_or_nonpassive,active_or_nonpassive,medium_density,medium_density,straight_report,straight_report,codex,B03,context_first,context_first,active_or_nonpassive,medium_density,straight_report,test
52,Lebanon asks U.S. for direct peace talks with Israel to end fighting,world,simple_clause,actor_entity_first,active_or_nonpassive,active_or_nonpassive,high_density,high_density,straight_report,straight_report,codex,B03,actor_entity_first,actor_entity_first,active_or_nonpassive,high_density,straight_report,train
53,"Hundreds killed in Haiti drone strikes, including 60 civilians: Report",world,noun_phrase_fragment,actor_entity_first,active_or_nonpassive,active_or_nonpassive,high_density,high_density,analysis_explainer,straight_report,codex,B03,actor_entity_first,actor_entity_first,active_or_nonpassive,high_density,analysis_explainer,train
54,Iraq war's aftermath was a disaster for the US the Iran war is headed in the same direction,world,coordination,actor_entity_first,passive_agent_omitted,active_or_nonpassive,medium_density,medium_density,straight_report,analysis_explainer,codex,B03,actor_entity_first,actor_entity_first,passive_agent_omitted,medium_density,straight_report,train
55,U.S. orders more diplomats to leave Middle East,world,simple_clause,actor_entity_first,active_or_nonpassive,active_or_nonpassive,high_density,high_density,straight_report,straight_report,codex,B03,actor_entity_first,actor_entity_first,active_or_nonpassive,high_density,straight_report,train
56,"US, Iran spar over status of Iranian warship sunk by submarine",world,simple_clause,actor_entity_first,active_or_nonpassive,active_or_nonpassive,high_density,high_density,straight_report,straight_report,codex,B03,actor_entity_first,actor_entity_first,active_or_nonpassive,high_density,straight_report,dev
57,Actuarial Warfare: How Seven Insurance Letters Closed the World's Most Critical Chokepoint and Why Markets Are Mispricing Duration by 300% Shanaka Anslem Perera,world,other,actor_entity_first,active_or_nonpassive,active_or_nonpassive,high_density,high_density,analysis_explainer,analysis_explainer,codex,B03,actor_entity_first,actor_entity_first,active_or_nonpassive,high_density,analysis_explainer,test
58,Trump and Putin discuss end to Iran and Ukraine wars on call,world,simple_clause,actor_entity_first,active_or_nonpassive,active_or_nonpassive,medium_density,medium_density,straight_report,straight_report,codex,B03,actor_entity_first,actor_entity_first,active_or_nonpassive,medium_density,straight_report,train
59,Frightening footage shows Iranian 'cluster warhead' explode on Israel street in deadly attack,world,simple_clause,context_first,active_or_nonpassive,active_or_nonpassive,high_density,high_density,straight_report,straight_report,codex,B03,context_first,context_first,active_or_nonpassive,high_density,straight_report,test
60,Rubble without a cause: What's America's Iran endgame?,world,question_form,actor_entity_first,active_or_nonpassive,active_or_nonpassive,medium_density,medium_density,question_hook,question_hook,codex,B03,actor_entity_first,actor_entity_first,active_or_nonpassive,medium_density,question_hook,test
61,"Iranian Kurdish fighters say they're ready to strike Tehran, waiting for opening",world,simple_clause,actor_entity_first,active_or_nonpassive,active_or_nonpassive,medium_density,medium_density,straight_report,straight_report,codex,B03,actor_entity_first,actor_entity_first,active_or_nonpassive,medium_density,straight_report,train
62,"Iran Update Evening Special Report: March 9, 2026 Institute for the Study of War",world,noun_phrase_fragment,actor_entity_first,active_or_nonpassive,active_or_nonpassive,high_density,high_density,live_or_alert,live_or_alert,codex,B03,actor_entity_first,actor_entity_first,active_or_nonpassive,high_density,live_or_alert,train
63,GPS jamming: The invisible battle in the Middle East,world,noun_phrase_fragment,actor_entity_first,active_or_nonpassive,active_or_nonpassive,medium_density,medium_density,straight_report,analysis_explainer,codex,B03,actor_entity_first,actor_entity_first,active_or_nonpassive,medium_density,straight_report,dev
64,Bahrain declares force majeure as Iran sets its only refinery ablaze,world,simple_clause,actor_entity_first,active_or_nonpassive,active_or_nonpassive,high_density,high_density,straight_report,straight_report,codex,B03,actor_entity_first,actor_entity_first,active_or_nonpassive,high_density,straight_report,dev
65,Top Iranian Security Official Warns Trump: 'Be Careful Not To Get Eliminated Yourself',world,simple_clause,context_first,active_or_nonpassive,active_or_nonpassive,high_density,high_density,straight_report,straight_report,codex,B03,context_first,context_first,passive_agent_omitted,medium_density,straight_report,train
66,"Greek operated tanker with Saudi oil cargo sails through Hormuz, ship tracking data shows",world,simple_clause,actor_entity_first,active_or_nonpassive,active_or_nonpassive,high_density,high_density,straight_report,straight_report,codex,B03,actor_entity_first,actor_entity_first,active_or_nonpassive,high_density,straight_report,train
67,Iran signals Hormuz safe passage to countries expelling U.S. and Israeli diplomats investingLive,world,simple_clause,actor_entity_first,active_or_nonpassive,active_or_nonpassive,high_density,high_density,straight_report,straight_report,codex,B03,actor_entity_first,actor_entity_first,active_or_nonpassive,high_density,straight_report,train
68,Civilians Killed by Strikes in Gulf States Are Almost All Migrant Workers,world,simple_clause,actor_entity_first,active_or_nonpassive,active_or_nonpassive,medium_density,medium_density,straight_report,straight_report,codex,B03,actor_entity_first,actor_entity_first,active_or_nonpassive,medium_density,straight_report,dev
69,The 'Fourth Successor': Iran's plan for a long war with the US and Israel,world,noun_phrase_fragment,context_first,active_or_nonpassive,active_or_nonpassive,medium_density,medium_density,straight_report,analysis_explainer,codex,B03,context_first,context_first,active_or_nonpassive,medium_density,straight_report,train
70,Supreme Court Justices Jackson and Kavanaugh clash over handling of Trump cases,domestic,simple_clause,actor_entity_first,active_or_nonpassive,active_or_nonpassive,high_density,high_density,straight_report,straight_report,codex,B03,actor_entity_first,actor_entity_first,active_or_nonpassive,high_density,straight_report,test
71,"ICE officers confirmed at Bush Airport for second day, TSA waits grow to 4 hours",domestic,coordination,actor_entity_first,active_or_nonpassive,active_or_nonpassive,high_density,high_density,straight_report,straight_report,codex,B03,actor_entity_first,actor_entity_first,active_or_nonpassive,high_density,straight_report,train
72,Chavez Revelations Force Teachers to Rethink How They Teach His Legacy,domestic,simple_clause,actor_entity_first,active_or_nonpassive,active_or_nonpassive,medium_density,medium_density,analysis_explainer,analysis_explainer,codex,B03,actor_entity_first,actor_entity_first,active_or_nonpassive,medium_density,analysis_explainer,test
73,US quadruple amputee cornhole champion arrested on suspicion of murder,domestic,passive_clause,actor_entity_first,active_or_nonpassive,passive_agent_omitted,high_density,high_density,straight_report,straight_report,codex,B03,actor_entity_first,actor_entity_first,active_or_nonpassive,high_density,straight_report,test
74,Should You Need to Prove Citizenship to Vote? Ask Kansas.,domestic,question_form,action_first,active_or_nonpassive,active_or_nonpassive,medium_density,medium_density,question_hook,question_hook,codex,B03,action_first,action_first,active_or_nonpassive,medium_density,question_hook,train
75,Trump says peace talks progressing as Iran officials deny negotiations,domestic,simple_clause,actor_entity_first,active_or_nonpassive,active_or_nonpassive,high_density,high_density,straight_report,straight_report,codex,B03,actor_entity_first,actor_entity_first,active_or_nonpassive,high_density,straight_report,test
76,Gregory Bovino's Final Days: Harsh Words and Few Regrets,domestic,noun_phrase_fragment,actor_entity_first,active_or_nonpassive,active_or_nonpassive,high_density,high_density,straight_report,analysis_explainer,codex,B04,actor_entity_first,actor_entity_first,active_or_nonpassive,high_density,straight_report,train
77,Loud Explosions Reportedly Rock Tehran As Iran Warns Gulf Neighbors Of Energy Retaliation If Trump Attacks Power Grid: Dow Futures Trade Flat,domestic,simple_clause,actor_entity_first,active_or_nonpassive,active_or_nonpassive,high_density,high_density,analysis_explainer,straight_report,codex,B04,actor_entity_first,context_first,active_or_nonpassive,high_density,analysis_explainer,train
78,TSA wait times stretch up to 6 hours as ICE and other Homeland Security agents deployed to 14 airports,domestic,simple_clause,actor_entity_first,active_or_nonpassive,active_or_nonpassive,high_density,high_density,straight_report,straight_report,codex,B04,actor_entity_first,actor_entity_first,active_or_nonpassive,high_density,straight_report,train
79,Deal emerges to end Homeland Security budget standoff as TSA disruptions deepen,domestic,simple_clause,actor_entity_first,active_or_nonpassive,active_or_nonpassive,high_density,high_density,straight_report,straight_report,codex,B04,actor_entity_first,actor_entity_first,active_or_nonpassive,high_density,straight_report,dev
80,Here's what to know as the scope of damage from Hawaii's floods becomes clearer,domestic,simple_clause,context_first,active_or_nonpassive,active_or_nonpassive,low_density,low_density,analysis_explainer,analysis_explainer,codex,B04,context_first,context_first,active_or_nonpassive,low_density,analysis_explainer,train
81,The old and weak president is losing because he's old and weak alternet.org,domestic,simple_clause,context_first,active_or_nonpassive,active_or_nonpassive,medium_density,medium_density,straight_report,analysis_explainer,codex,B04,context_first,context_first,active_or_nonpassive,medium_density,straight_report,train
82,Stitt picks energy executive Alan Armstrong as next Oklahoma senator,domestic,simple_clause,actor_entity_first,active_or_nonpassive,active_or_nonpassive,high_density,high_density,straight_report,straight_report,codex,B04,actor_entity_first,actor_entity_first,active_or_nonpassive,high_density,straight_report,train
83,Supreme Court to scrutinize former policy of turning away asylum seekers at southern border,domestic,noun_phrase_fragment,actor_entity_first,active_or_nonpassive,active_or_nonpassive,high_density,high_density,straight_report,straight_report,codex,B04,actor_entity_first,actor_entity_first,active_or_nonpassive,high_density,straight_report,train
84,"Valero shuts Texas refinery after explosion, sources say",domestic,simple_clause,actor_entity_first,active_or_nonpassive,active_or_nonpassive,high_density,high_density,straight_report,straight_report,codex,B04,actor_entity_first,actor_entity_first,active_or_nonpassive,high_density,straight_report,train
85,Rubio testifies against friend accused of secretly working for Maduro,domestic,simple_clause,actor_entity_first,active_or_nonpassive,active_or_nonpassive,medium_density,medium_density,straight_report,straight_report,codex,B04,actor_entity_first,actor_entity_first,active_or_nonpassive,medium_density,straight_report,train
86,Taliban releases U.S. citizen Dennis Coyle over a year after he was detained,domestic,simple_clause,actor_entity_first,passive_agent_omitted,active_or_nonpassive,medium_density,medium_density,straight_report,straight_report,codex,B04,actor_entity_first,actor_entity_first,passive_agent_omitted,medium_density,straight_report,test
87,Philadelphia 'No Kings' protest 2026: What to know ahead of March 28 rally,domestic,noun_phrase_fragment,actor_entity_first,active_or_nonpassive,active_or_nonpassive,high_density,high_density,analysis_explainer,analysis_explainer,codex,B04,actor_entity_first,actor_entity_first,active_or_nonpassive,medium_density,analysis_explainer,train
88,Trump casts Florida mail ballot as he pushes Congress to severely limit that voting option,domestic,simple_clause,actor_entity_first,active_or_nonpassive,active_or_nonpassive,high_density,high_density,straight_report,straight_report,codex,B04,actor_entity_first,actor_entity_first,active_or_nonpassive,high_density,straight_report,test
89,"Pentagon revises rules for journalists after lawsuit loss, raising press group's ire",domestic,simple_clause,actor_entity_first,active_or_nonpassive,active_or_nonpassive,high_density,high_density,straight_report,straight_report,codex,B04,actor_entity_first,actor_entity_first,active_or_nonpassive,high_density,straight_report,train
90,Markwayne Mullin confirmed as the next secretary of Homeland Security,domestic,passive_clause,actor_entity_first,active_or_nonpassive,passive_agent_omitted,high_density,high_density,straight_report,straight_report,codex,B04,actor_entity_first,actor_entity_first,active_or_nonpassive,high_density,straight_report,dev
91,DCCC launches geotargeted digital ad campaign hitting GOP for gas prices,domestic,simple_clause,actor_entity_first,active_or_nonpassive,active_or_nonpassive,high_density,high_density,straight_report,straight_report,codex,B04,actor_entity_first,actor_entity_first,active_or_nonpassive,high_density,straight_report,train
92,"Is the US talking to Iran's Mohammad Bagher Ghalibaf, and who is he?",domestic,question_form,action_first,active_or_nonpassive,active_or_nonpassive,low_density,low_density,question_hook,question_hook,codex,B04,action_first,action_first,active_or_nonpassive,low_density,question_hook,dev
93,Kennedy Center renovation hit with lawsuit filed by preservationists,domestic,passive_clause,actor_entity_first,active_or_nonpassive,passive_with_agent,high_density,high_density,straight_report,straight_report,codex,B04,actor_entity_first,actor_entity_first,active_or_nonpassive,high_density,straight_report,train
94,Judge appoints new US attorney in NJ after courts rejected Justice Department workarounds,domestic,simple_clause,actor_entity_first,active_or_nonpassive,active_or_nonpassive,high_density,high_density,straight_report,straight_report,codex,B04,actor_entity_first,actor_entity_first,active_or_nonpassive,high_density,straight_report,train
95,Radio Host Tells Trump 'People Are Gonna Treat' His Death 'Like Mardi Gras',domestic,simple_clause,actor_entity_first,passive_agent_omitted,active_or_nonpassive,high_density,high_density,straight_report,straight_report,codex,B04,actor_entity_first,actor_entity_first,active_or_nonpassive,high_density,straight_report,test
96,Immigration arrest at SFO sparks concerns over potential breach of California sanctuary law,domestic,simple_clause,actor_entity_first,active_or_nonpassive,active_or_nonpassive,high_density,high_density,straight_report,straight_report,codex,B04,actor_entity_first,actor_entity_first,active_or_nonpassive,high_density,straight_report,dev
97,"Gigantic 'Heat Dome' Baking The Whole US May Be Historic, Scientists Say",domestic,simple_clause,actor_entity_first,active_or_nonpassive,active_or_nonpassive,high_density,high_density,straight_report,straight_report,codex,B04,actor_entity_first,context_first,active_or_nonpassive,medium_density,straight_report,dev
98,Californians may need to mail ballots early as Supreme Court signals support for new election day deadline,domestic,simple_clause,actor_entity_first,active_or_nonpassive,active_or_nonpassive,high_density,high_density,straight_report,straight_report,codex,B04,actor_entity_first,actor_entity_first,active_or_nonpassive,high_density,straight_report,train
99,"GOP sheriff seizes 650,000 ballots in challenge to California redistricting vote",domestic,simple_clause,actor_entity_first,active_or_nonpassive,active_or_nonpassive,high_density,high_density,straight_report,straight_report,codex,B04,actor_entity_first,actor_entity_first,active_or_nonpassive,high_density,straight_report,train
100,DHS funding talks in limbo after Trump calls on GOP to link bill to SAVE America Act,domestic,noun_phrase_fragment,actor_entity_first,active_or_nonpassive,active_or_nonpassive,high_density,high_density,straight_report,straight_report,codex,B04,actor_entity_first,actor_entity_first,active_or_nonpassive,high_density,straight_report,dev
101,Middle East crisis live: Pakistan reportedly favouring Vance for role in possible US Iran peace talks,world,noun_phrase_fragment,actor_entity_first,active_or_nonpassive,active_or_nonpassive,high_density,high_density,live_or_alert,live_or_alert,codex,B05,actor_entity_first,actor_entity_first,active_or_nonpassive,high_density,live_or_alert,train
102,Iran Charges Some Ships Hormuz Transit Fees for Safe Passage,world,simple_clause,actor_entity_first,active_or_nonpassive,active_or_nonpassive,high_density,high_density,straight_report,straight_report,codex,B05,actor_entity_first,actor_entity_first,active_or_nonpassive,high_density,straight_report,train
103,"Airstrikes batter Iran as it attacks Israel and Gulf states, while diplomatic efforts gather pace",world,simple_clause,actor_entity_first,active_or_nonpassive,active_or_nonpassive,high_density,high_density,straight_report,straight_report,codex,B05,actor_entity_first,actor_entity_first,active_or_nonpassive,high_density,straight_report,train
